mpids,formula,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,Temperature_raw_value,DOI,compound_type
mp-1056,Tb2O3,True,False,3.9006,-3.9821810734166654,[3.82],,10.1007/s10948-016-3898-z,Double anions
mp-1056,Tb2O3,True,False,3.9006,-3.9821810734166654,[0.95],,10.1021/jacs.5b03986,Double anions
mp-1056,Tb2O3,True,False,3.9006,-3.9821810734166654,[0.86],,10.1021/jacs.5b03986,Double anions
mp-8291,BaTiF6,True,False,4.3236,-3.976591936041666,[3.03],,10.1016/j.jece.2017.04.038,Halides
mp-8291,BaTiF6,True,False,4.3236,-3.976591936041666,[2.91],,10.1016/j.jece.2017.04.038,Halides
mp-8291,BaTiF6,True,False,4.3236,-3.976591936041666,[4.18],,10.1039/c6ce01046f,Halides
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[6.3],,10.1016/j.tsf.2008.05.050,Double anions
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[6.0],,10.1016/j.tsf.2010.10.073,Double anions
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[5.7],2753,10.1016/S0040-6090(00)00924-X,Double anions
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[6.3],,10.1039/c2dt31219k,Double anions
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[5.88],,10.1007/s10853-006-0394-z,Double anions
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[5.7],,10.1007/s10853-015-8881-8,Double anions
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[6.0],,10.1021/jacs.5b03986,Double anions
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[6.2],,10.1021/jacs.5b03986,Double anions
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[5.4],,10.1021/jacs.5b03986,Double anions
mp-216,Sc2O3,True,False,3.8235,-3.968732640749999,[1.7],,10.1021/jacs.5b03986,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.6],,10.1016/j.matpr.2016.11.098,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.6],,10.1016/j.matpr.2017.06.403,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.8],,10.1016/j.optmat.2014.02.014,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.45],,10.1016/j.optmat.2017.07.011,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.6],,10.1016/j.optmat.2018.06.003,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.8],,10.1016/j.physb.2013.11.051,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.6],,10.1016/j.physb.2016.06.007,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.8],,10.1016/j.tsf.2003.12.059,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.5],,10.1016/j.tsf.2006.11.177,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[6.14],,10.1016/j.tsf.2010.02.024,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.5],,10.1016/j.tsf.2016.01.018,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.5],,10.1016/j.tsf.2016.01.018,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.1],,10.1016/S0040-6090(01)01468-7,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[3.2],,10.1039/c5nj03711e,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[3.96],,10.1039/c5ra16621g,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[4.5],,10.1039/c5ra16621g,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[0.04],,10.1039/c5ra16621g,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[3.96],,10.1039/c5ra16621g,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.17],,10.1039/c9ce00672a,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[6.0],,10.1039/c4tc00031e,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[4.6],,10.1039/c9ta11839j,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[4.49],,10.1039/c3ce42529k,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[3.13],,10.1039/c4dt01266f,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.6],,10.1039/c4ta01057d,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[8.8],,10.1039/d0tc01876g,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.8],,10.1039/d0tc03213a,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.6],,10.1007/s10854-018-0097-7,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.5],,10.1007/s10854-018-0097-7,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.5],,10.1007/s10973-019-08407-1,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.8],,10.1007/s11164-011-0474-9,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.6],,10.1007/s11164-014-1563-3,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[1.5],,10.1007/s11164-019-03819-y,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[1.5],,10.1007/s11164-019-03819-y,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[3.886],,10.1134/S0036024419130399,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.8],,10.1007/s10853-016-9922-7,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[6.0],,10.1007/s00339-013-7680-9,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[6.0],,10.1038/s41598-020-70005-1,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.8],,10.1007/s11164-012-0908-z,Double anions
