model,split,fold,ckpt,test_loss,test_mae,test_mre,test_r2
linear_regression,crystalsys,mf.crystalsys.k5_outer,output/split/crystalsys/crystalsys_lr.log,0.6206266283988953,0.6141016483306885,0.3224294483661651,0.4088109135627746
linear_regression,crystalsys,mf.crystalsys.k6_outer,output/split/crystalsys/crystalsys_lr.log,0.5079843384942085,0.5587710295469138,0.2930151804949244,0.3743566779326771
random_forest,crystalsys,mf.crystalsys.k0_outer,output/split/crystalsys/crystalsys_rf.log,0.7254426933837476,0.667497820336079,0.3906402030393713,0.4679381320420369
random_forest,crystalsys,mf.crystalsys.k1_outer,output/split/crystalsys/crystalsys_rf.log,0.5256912857874277,0.540874509716737,0.2976478141287541,0.5265237441930171
random_forest,crystalsys,mf.crystalsys.k2_outer,output/split/crystalsys/crystalsys_rf.log,0.8378584667608252,0.694424479073543,0.3313177057274769,0.3520281961144056
random_forest,crystalsys,mf.crystalsys.k3_outer,output/split/crystalsys/crystalsys_rf.log,0.5428960589942277,0.5678498007401791,0.3164198198611642,0.4477024605417598
random_forest,crystalsys,mf.crystalsys.k4_outer,output/split/crystalsys/crystalsys_rf.log,0.6910257419238253,0.6593761999164398,0.3674636166295492,0.387709523387609
random_forest,crystalsys,mf.crystalsys.k5_outer,output/split/crystalsys/crystalsys_rf.log,0.4128946529755165,0.4910796132587618,0.272196075938541,0.6066897567269665
random_forest,crystalsys,mf.crystalsys.k6_outer,output/split/crystalsys/crystalsys_rf.log,0.4330984697714062,0.4861520953933921,0.2529087398853618,0.4665875601337148
svr,crystalsys,mf.crystalsys.k0_outer,output/split/crystalsys/crystalsys_svr.log,0.6054212844646236,0.5880110663260346,0.3215209235753504,0.5559655056814256
svr,crystalsys,mf.crystalsys.k1_outer,output/split/crystalsys/crystalsys_svr.log,0.538619501283108,0.5415576129916564,0.2924385618226993,0.5148796419743706
svr,crystalsys,mf.crystalsys.k2_outer,output/split/crystalsys/crystalsys_svr.log,0.8625042391006464,0.6628014780633434,0.3130647783871602,0.3329679774799542
svr,crystalsys,mf.crystalsys.k3_outer,output/split/crystalsys/crystalsys_svr.log,0.5210006100993043,0.526527721851039,0.3005880215937819,0.4699770789510424
svr,crystalsys,mf.crystalsys.k4_outer,output/split/crystalsys/crystalsys_svr.log,0.8585647335513523,0.7034212186241969,0.3913561139792348,0.239259874103652
svr,crystalsys,mf.crystalsys.k5_outer,output/split/crystalsys/crystalsys_svr.log,0.4460315746399236,0.5112108730209989,0.2780695549849074,0.5751245847703312
svr,crystalsys,mf.crystalsys.k6_outer,output/split/crystalsys/crystalsys_svr.log,0.471818593537565,0.4930234063434167,0.2512189971944282,0.4188991078957456
linear_regression,periodictablegroups,mf.periodictablegroups.k0_outer,output/split/ptgroups_lr.log,1.2620388269424438,0.854361891746521,0.512215256690979,-0.21913623809814453
linear_regression,periodictablegroups,mf.periodictablegroups.k1_outer,output/split/ptgroups_lr.log,1.9971916675567627,1.0584510564804077,0.47153225541114807,-1.0135860443115234
linear_regression,periodictablegroups,mf.periodictablegroups.k2_outer,output/split/ptgroups_lr.log,0.6843295754645773,0.6598195292843503,0.3080670245504424,0.32881052169299385
linear_regression,periodictablegroups,mf.periodictablegroups.k3_outer,output/split/ptgroups_lr.log,1.779951810836792,1.0641664266586304,0.5483490824699402,-1.9075429439544678
linear_regression,periodictablegroups,mf.periodictablegroups.k4_outer,output/split/ptgroups_lr.log,1.0003879619854765,0.8199646275331764,0.6918580304946805,-0.09353653297659847
linear_regression,periodictablegroups,mf.periodictablegroups.k5_outer,output/split/ptgroups_lr.log,3.123426439909175,1.492795220275186,0.535568950900495,-1.9706410479365921
linear_regression,periodictablegroups,mf.periodictablegroups.k6_outer,output/split/ptgroups_lr.log,0.8104478214700231,0.7171301365668029,0.3586811312108465,0.16427800191963848
linear_regression,periodictablegroups,mf.periodictablegroups.k7_outer,output/split/ptgroups_lr.log,2.315505027770996,0.994087278842926,0.5075035691261292,-1.1671555042266846
linear_regression,periodictablegroups,mf.periodictablegroups.k8_outer,output/split/ptgroups_lr.log,1.3122549057006836,0.8900961875915527,0.5115512013435364,-0.3730607032775879
linear_regression,periodictablegroups,mf.periodictablegroups.k9_outer,output/split/ptgroups_lr.log,0.6292265314160732,0.5796942336595569,0.3597829453005016,0.4343468174717702
random_forest,periodictablegroups,mf.periodictablegroups.k0_outer,output/split/ptgroups_rf.log,0.7827099516267957,0.7041970123093044,0.4706567803490594,0.24389800169079667
random_forest,periodictablegroups,mf.periodictablegroups.k1_outer,output/split/ptgroups_rf.log,0.7886387639422701,0.6935526565351885,0.3119356208350769,0.20488745850953438
random_forest,periodictablegroups,mf.periodictablegroups.k2_outer,output/split/ptgroups_rf.log,0.6891920891246051,0.673444056055078,0.3094757980159217,0.3240413751826753
