split_dir,split_name,method,val_mae_mean,val_mae_std,val_mre_mean,val_mre_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_mre_mean,test_mre_std,test_r2_mean,test_r2_std,val_mae_count,val_mre_count,val_r2_count,test_mae_count,test_mre_count,test_r2_count
category_no_pretrain,Phosphides,alignn_prop,0.3577733337879181,,0.2243681699037552,,0.5523886680603027,,0.3577733337879181,,0.2243681699037552,,0.5523886680603027,,1,1,1,1,1,1
category_no_pretrain,Phosphides,alignn_z,0.5683037042617798,,0.3154618442058563,,0.0939272567629814,,0.5683037042617798,,0.3154618442058563,,0.0939272567629814,,1,1,1,1,1,1
category_no_pretrain,Phosphides,cartnet,0.4607218205928802,,0.3231216967105865,,0.3269702792167663,,0.4607218205928802,,0.3231216967105865,,0.3269703388214111,,1,1,1,1,1,1
category_no_pretrain,Phosphides,cartnet_prop,0.4190344512462616,,0.2440724223852157,,0.3359987139701843,,0.4190344512462616,,0.2440724223852157,,0.3359986543655395,,1,1,1,1,1,1
category_no_pretrain,Phosphides,cgcnn,0.5524799823760986,,0.4299501478672027,,0.0284561514854431,,0.5524799823760986,,0.4299501478672027,,0.0284561514854431,,1,1,1,1,1,1
category_no_pretrain,Phosphides,chgnet,0.3926044106483459,,0.25978484749794,,0.5220147371292114,,0.3926044404506683,,0.2597849071025848,,0.5220146179199219,,1,1,1,1,1,1
category_no_pretrain,Phosphides,chgnet_prop,0.4186338484287262,,0.2877303063869476,,0.4963098764419555,,0.4186338484287262,,0.2877303063869476,,0.4963099658489227,,1,1,1,1,1,1
category_no_pretrain,Phosphides,leftnet_prop,0.4463239014148712,,0.313770055770874,,0.2294749617576599,,0.4463239014148712,,0.313770055770874,,0.2294749617576599,,1,1,1,1,1,1
category_no_pretrain,Phosphides,leftnet_z,0.586392879486084,,0.3962101340293884,,-0.0409409999847412,,0.586392879486084,,0.396210104227066,,-0.0409409999847412,,1,1,1,1,1,1
category_no_pretrain,Silicides,alignn_prop,0.4577974081039428,,0.5199114084243774,,-0.0050632953643798,,0.4577974081039428,,0.5199114084243774,,-0.0050632953643798,,1,1,1,1,1,1
category_no_pretrain,Silicides,alignn_z,0.313062310218811,,0.3813041448593139,,0.3080564737319946,,0.313062310218811,,0.3813041448593139,,0.3080564737319946,,1,1,1,1,1,1
category_no_pretrain,Silicides,cartnet,0.9413039684295654,,1.0722087621688845,,-3.9523348808288574,,0.9413039684295654,,1.0722087621688845,,-3.952333927154541,,1,1,1,1,1,1
