mpids,formula,bg_mp,bg_exp,num_elements,source,category,num_categories,cluster_auto,is_ood
mp-1190,ZnSe,1.1663,2.7,2,BandgapDatabase1,Chalcogenides,1,2,True
mp-2176,ZnTe,1.073299999999999,2.26,2,BandgapDatabase1,Chalcogenides,1,2,True
mp-2469,CdS,1.0453,2.14,2,DS2,Chalcogenides,1,2,True
mp-2691,CdSe,0.5095000000000001,1.72,2,DS2,Chalcogenides,1,2,True
mp-571195,ZnTe,1.0679,2.26,2,DS2,Chalcogenides,1,2,True
mp-1069538,CsPbI3,2.8567,1.77,3,DS2,Halides,1,2,True
mp-22925,AgI,1.7236,2.22,2,DS2,Halides,1,2,True
mp-22894,AgI,1.3955,2.63,2,DS2,Halides,1,2,True
mp-567259,CdI2,2.4036,3.4729,2,DS2,Halides,1,2,True
mp-569548,Cs2Au2Br6,0.709,1.6,3,DS2,Halides,1,2,True
mp-23484,Cs2Au2Cl6,0.8609,2.04,3,DS2,Halides,1,2,True
mp-28453,Cs2Au2I6,0.9509000000000001,1.31,3,DS2,Halides,1,2,True
mp-624214,Cs3Bi2I9,2.3446,1.8,3,DS2,Halides,1,2,True
mp-567629,CsPbBr3,2.0087,2.32,3,DS2,Halides,1,2,True
mp-27214,CsSnBr3,2.385,1.75,3,DS2,Halides,1,2,True
mp-568570,CsSnI3,0.6097,1.31,3,DS2,Halides,1,2,True
mp-634,HgS,1.7241,2.03,2,DS2,Chalcogenides,1,2,True
mp-28077,PbBr2,3.0529,3.98,2,DS2,Halides,1,2,True
mp-22893,PbI2,2.3703,2.2800000000000002,2,DS2,Halides,1,2,True
mp-23383,Rb2TeBr6,2.158,2.19,3,DS2,Halides,2,2,True
mp-28222,Rb3Sb2Br9,1.9051,2.48,3,DS2,Antimonides,2,2,True
mp-569224,SbI3,2.2167,2.41,2,DS2,Antimonides,2,2,True
mp-561134,Sn2SbS2I3,0.8162,1.5,4,DS2,Antimonides,3,2,True
mp-569152,SnCl2,3.1079,3.8,2,DS2,Halides,1,2,True
mp-22875,TlBr,2.3615,2.66,2,DS2,Halides,1,2,True
mp-23167,TlCl,2.5887000000000002,3.225,2,DS2,Halides,1,2,True
mp-23197,TlI,2.2503,2.1,2,DS2,Halides,1,2,True
mp-22858,TlI,2.3198,2.867,2,DS2,Halides,1,2,True
mp-560588,ZnS,2.0776,3.91,2,DS2,Chalcogenides,1,2,True
